Price,Close,High,Low,Open,Volume
Ticker,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS
Date,,,,,
2021-01-01,54.244354248046875,54.80105575343645,53.98287674808168,54.404617972676064,84113960
2021-01-04,58.453338623046875,59.035337160111055,54.52692226060502,54.74201441225235,381849550
2021-01-05,57.4031982421875,58.52503144221907,56.943501852601,57.947241589501544,215452540
2021-01-06,57.67733383178711,58.76121198580161,56.93507151246672,57.694207086351824,196105220
2021-01-07,60.966915130615234,61.70074723507096,58.343683995174565,58.453340840648465,382321940
2021-01-08,60.1529655456543,61.34227270223879,59.30526138777104,61.32118434953182,193293130
2021-01-11,58.6768684387207,60.055957840125515,58.04847159241139,60.055957840125515,170245090
2021-01-12,58.61360168457031,61.11030930663846,58.29308062632052,58.62203831209988,245254840
2021-01-13,59.8155632019043,60.27104453131001,58.45334074482053,59.16607806292802,193538710
2021-01-14,59.57939147949219,60.26261028293774,58.79916754980201,59.88726080712046,115408580
2021-01-15,59.54142379760742,60.85726081196095,58.845553341801015,60.05594861333186,206884370
2021-01-18,56.23497772216797,59.78182324167455,55.627669281817155,59.71856462716338,250452260
2021-01-19,57.44959259033203,57.68998175231422,54.57331422644739,56.68202043976082,312451180
2021-01-20,58.21294403076172,59.001598106378225,57.576117062055104,58.21294403076172,233131500
2021-01-21,56.23497772216797,58.60094643379918,55.80480627297021,58.284640490721536,161178670
2021-01-22,54.57331466674805,57.00254836265115,53.44726952961529,56.5133269727528,237156650
2021-01-25,54.9908447265625,55.82589065126554,53.223747750277205,54.910712854471484,163484730
2021-01-27,52.802005767822266,54.923363843145296,52.61644179683224,54.90227549257276,149180840
2021-01-28,52.60799789428711,53.1900028262448,51.671731888642206,52.12721316992299,170917520
2021-01-29,50.693294525146484,53.4599191800903,50.271553295427694,53.143613257801206,268265750
2021-02-01,53.6539192199707,53.98287686102172,50.39385813127828,51.02225487393235,210846940
2021-02-02,54.12205505371094,54.65766823980805,52.64174237432829,54.23592699238749,180489570
2021-02-03,55.09206771850586,56.032549009490836,53.75092704692816,54.39619071689335,148463810
2021-02-04,55.3282356262207,55.96506259713132,53.8647929736597,55.163756796104146,147649950
2021-02-05,57.782772064208984,58.25090515544765,54.94445497269135,55.40837296770675,291008880
2021-02-08,59.2926025390625,59.45708137399558,57.584549139212264,58.537688510846834,214621690
2021-02-09,58.976295471191406,60.43130151182807,58.335253397887314,59.59204053413391,293370280
2021-02-10,58.221378326416016,61.110301902562455,57.361022609955164,59.887254904669874,573979190
2021-02-11,58.59673309326172,59.43177900612856,57.59720834247776,57.99786126199268,163407050
2021-02-12,57.398990631103516,58.86664847976937,57.23029025839058,58.62203776578152,147054790
2021-02-15,56.69467544555664,58.03160092525159,56.513329789634604,57.95568415084023,131716720
2021-02-16,58.976295471191406,59.76917108875168,56.36993760790879,56.69467374041095,336618380
2021-02-17,58.773860931396484,59.3389926626453,57.98942194799858,58.84555617175545,159574830
2021-02-18,58.8539924621582,59.971604195571146,58.53768652606842,59.04377473675993,148561470
2021-02-19,56.57237243652344,58.7063821854064,55.3282370048705,58.7063821854064,223923860
2021-02-22,57.7406005859375,58.866649039042045,56.58502715410473,56.75794262455535,281491090
2021-02-23,61.515174865722656,62.08030655844061,57.54237332881979,58.166548535176034,389070710
2021-02-24,61.38022232055664,62.83944996329985,60.73074358869248,61.9959674134569,216767890
2021-02-25,62.66231155395508,63.51423062449861,61.73869724788339,62.012826468153456,219015960
2021-02-26,60.32164764404297,62.552662355671025,59.98003827720363,61.152478382404055,235515910
2021-03-01,61.60796356201172,62.27009398881376,60.00113040333841,61.068135268159814,140586460
2021-03-02,62.038143157958984,62.39661937495515,60.996441710152915,61.612180358292704,111133990
2021-03-03,65.55123901367188,66.00250523744731,62.50205159594907,62.50205159594907,288428350
2021-03-04,63.931758880615234,64.68667937308035,62.725578566369094,63.34553876075239,228738220
2021-03-05,61.85258102416992,63.767283707709176,61.3211828639795,63.13467175339606,168819600
2021-03-08,62.18575668334961,63.362418576261554,62.000189471903866,62.75088851074393,106145960
2021-03-09,59.613128662109375,63.341319792694286,59.2335576734028,62.83944667218077,195564380
2021-03-10,61.11030578613281,61.57000864872308,59.301038618576406,60.300563341996586,196858600
2021-03-12,60.726531982421875,62.83945357450818,60.22465880678229,62.417712275350404,161214090
2021-03-15,62.114051818847656,62.333359074370264,60.31321484950608,60.89943493935121,155429990
2021-03-16,61.072349548339844,62.42614179602282,60.66326001991052,62.42614179602282,125699980
2021-03-17,59.414913177490234,61.23683214823742,59.09860721966333,61.14827008379215,105409590
2021-03-18,59.45286560058594,60.97535179798085,58.90038558275408,60.414435153123684,143206510
2021-03-19,61.8272590637207,62.143564946171,57.46223531180283,59.27572365823643,246378140
2021-03-22,62.712921142578125,62.894273222234034,61.152479840594395,61.6670046685568,137603700
2021-03-23,62.51470947265625,63.21480155692684,61.85257899519798,62.92379903784681,118738960
2021-03-24,59.27995681762695,61.82727790428113,58.95521421081348,61.6585775210773,210302830
